No,Kode Saham,Nama Perusahaan,Remarks,Sebelumnya,Open Price,Tanggal Perdagangan Terakhir,First Trade,Tertinggi,Terendah,Penutupan,Selisih,Volume,Nilai,Frekuensi,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
1,AALI,Astra Agro Lestari Tbk.,--M-18AEM16000D232------------,8000,0,09 Jan 2023,0,8075,7975,8025,25,287500,2306545000,548,651.9,8025,20100,8000,27100,1924688333,1924688333,390711732,13200,101200,68,547750,2
2,ABBA,Mahaka Media Tbk.,--U-2105000000E614------------,142,0,09 Jan 2023,0,146,133,137,-5,20320900,2849910400,8704,302.7,137,438400,136,11300,3935892857,3935892857,1342139464,0,16200,0,0,0
3,ABDA,Asuransi Bina Dana Arta Tbk.,--U-2105000000G412------------,6700,0,09 Jan 2023,0,0,0,6700,0,0,0,0,1529.6,6700,100000,0,0,620806680,620806680,31474899,0,0,0,0,0
4,ABMM,ABM Investama Tbk.,--M-1175000000C311------------,3050,0,09 Jan 2023,0,3170,3000,3020,-30,1679600,5133666000,1021,80.5,3030,2700,3020,57600,2753165000,2753165000,568803889,371500,90700,18,54900,1
5,ACES,Ace Hardware Indonesia Tbk.,--M-1K75MD0000E743------------,490,0,09 Jan 2023,0,505,490,492,2,86978200,43217165800,5243,600,494,31100,492,4002300,17150000000,17150000000,6832560000,22464100,19683600,2400153,1186475276,25
6,ACST,Acset Indonusa Tbk.,--U-1135000000J211------------,156,0,09 Jan 2023,0,158,154,154,-2,1758800,273165600,210,11.4,155,15000,154,145000,12675160000,12675160000,2259981028,0,0,0,0,0
7,ADCP,Adhi Commuter Properti Tbk.,--U-1135000000H111------------,64,0,09 Jan 2023,0,66,64,65,1,3436400,223014900,324,50,65,405200,64,2097100,22222222200,22222222200,2222222220,84000,0,0,0,0
8,ADES,Akasha Wira International Tbk.,--U-2135000000D212------------,7125,0,09 Jan 2023,0,7150,7050,7125,0,64700,458762500,75,370.1,7125,5800,7075,2100,589896800,589896800,48961434,400,0,0,0,0
9,ADHI,Adhi Karya (Persero) Tbk.,--M-1805L00000J211------------,452,0,09 Jan 2023,0,458,432,438,-14,20029300,8859050400,2915,376.9,438,144200,436,297000,8407608979,8407608979,2998994123,3329800,1497100,0,0,0
10,ADMF,Adira Dinamika Multi Finance Tbk.,--U-110F200000G211------------,8850,0,09 Jan 2023,0,8900,8850,8900,50,56700,503597500,90,382.8,8925,4900,8900,1500,1000000000,1000000000,79200000,0,0,0,0,0
11,ADMG,Polychem Indonesia Tbk,--U-1130000000B111------------,150,0,09 Jan 2023,0,155,146,151,1,299900,44878300,233,13.5,151,32700,147,100,3889179559,3889179559,520372225,0,20000,0,0,0
12,ADMR,Adaro Minerals Indonesia Tbk.,--U-2100000000A121------------,1560,0,09 Jan 2023,0,1585,1470,1475,-85,64462700,98667856500,8852,1475,1480,10000,1475,26500,40882331500,40882331500,6606584770,8956600,3496700,540100,811770300,1
13,ADRO,Adaro Energy Indonesia Tbk.,XDMO1XDAQG0000A121------------,3140,3150,09 Jan 2023,3160,3170,2980,3030,-110,166201300,505062305000,23623,275.5,3030,3433300,3020,79600,31985962000,31985962000,12979903380,47148100,70773100,712536,2236657640,13
14,AGAR,Asia Sejahtera Mina Tbk.,--U-2130000000D231-----------X,270,0,09 Jan 2023,0,280,270,280,10,6400,1760000,11,254.5,280,1600,268,100,1000000000,1000000000,250100000,0,0,0,0,0
15,AGII,Samator Indo Gas Tbk.,--M-1835FB3000B111------------,1935,0,09 Jan 2023,0,1945,1915,1915,-20,7872500,15170133500,1312,174.1,1915,7900,1910,71900,3066660000,3066660000,598612032,256100,6600,0,0,0
16,AGRO,Bank Raya Indonesia Tbk.,--U-1805300000G111------------,406,0,09 Jan 2023,0,414,392,392,-14,21106300,8455853400,2541,653.1,392,15400,390,503500,24492706736,24492706736,3201480612,1153600,1807200,19000,7770000,2
17,AGRS,Bank IBK Indonesia Tbk.,--U-2105000000G111------------,89,0,09 Jan 2023,0,90,87,89,0,8750900,772415700,521,115.2,89,415000,88,8700,27357208711,27357208711,2084619304,0,169000,0,0,0
18,AHAP,Asuransi Harta Aman Pratama Tbk.,--U-2100000000G412------------,64,0,09 Jan 2023,0,68,64,65,1,10137400,667782300,424,312.2,65,207600,64,751200,4900000000,4900000000,1201970000,0,0,0,0,0
19,AIMS,Akbar Indo Makmur Stimec Tbk,--U-2130000000A121------------,274,0,09 Jan 2023,0,312,256,304,30,941200,276927400,584,243.2,306,53900,304,36300,220000000,220000000,38786000,0,0,0,0,0
20,AISA,FKS Food Sejahtera Tbk.,--U-1135000000D222------------,142,0,09 Jan 2023,0,143,140,141,-1,4554300,641765700,324,17.2,141,203200,140,1091700,9311800000,9311800000,2507667740,4600,44000,0,0,0
21,AKKU,Anugerah Kagum Karya Utama Tbk.,--U-2100000000E512-----------X,50,0,09 Jan 2023,0,50,50,50,0,300,15000,3,75.9,50,29034100,0,0,6449463636,6449463636,1663316672,0,0,0,0,0
22,AKPI,Argha Karya Prima Industry Tbk.,--U-2130000000B113------------,1150,0,09 Jan 2023,0,1200,1145,1150,0,41800,48339000,35,151.7,1150,139000,1145,3400,612248000,612248000,26816462,0,0,0,0,0
23,AKRA,AKR Corporindo Tbk.,--M-1V3XM4G000A112------------,1270,0,09 Jan 2023,0,1275,1235,1265,-5,35777400,44925813000,3596,5041,1265,152900,1260,300,20073474600,20073474600,7445251729,12275700,4351700,5056805,6375296125,7
24,AKSI,Mineral Sumberdaya Mandiri Tbk.,--U-2130000000K211------------,406,0,09 Jan 2023,0,408,378,378,-28,7809900,3011937600,980,189,378,886200,0,0,720000000,720000000,57528000,0,0,0,0,0
25,ALDO,Alkindo Naratama Tbk.,--U-2135000000B131------------,800,0,09 Jan 2023,0,810,785,785,-15,101500,80572500,31,600.3,785,17000,780,41200,1316856309,1316856309,291815351,0,0,0,0,0
26,ALKA,Alakasa Industrindo Tbk,--U-2130000000B141------------,600,0,09 Jan 2023,0,560,560,560,-40,26700,14952000,28,94.3,560,986800,0,0,507665055,507665055,38074879,0,0,0,0,0
27,ALMI,Alumindo Light Metal Industry Tbk.,--U-2135000000B141------------,292,0,09 Jan 2023,0,300,272,274,-18,167600,46066800,117,42.2,280,3000,274,28200,3816000000,3816000000,169048800,0,0,0,0,0
28,ALTO,Tri Banyan Tirta Tbk.,--U-1100000000D212------------,50,0,09 Jan 2023,0,50,50,50,0,297700,14885000,32,25,50,52659200,0,0,2191870558,2191870558,666547837,0,0,0,0,0
29,AMAG,Asuransi Multi Artha Guna Tbk.,--U-2105000000G412------------,358,0,09 Jan 2023,0,366,358,360,2,16900,6094200,28,342.9,360,8100,358,2000,5001552516,5001552516,424131653,0,0,0,0,0
30,AMAN,Makmur Berkah Amanda Tbk.,--U-2135000000H111------------,710,0,09 Jan 2023,0,710,710,710,0,99600,70716000,12,645.5,710,91800,705,112700,3873500000,3873500000,455136250,0,0,3100000,2061500000,1
31,AMAR,Bank Amar Indonesia Tbk.,--U-2805000000G111------------,224,0,09 Jan 2023,0,226,210,212,-12,8017800,1740796800,862,181.9,212,28500,210,254800,18197283760,18197283760,733350536,493000,121800,0,0,0
32,AMFG,Asahimas Flat Glass Tbk.,--U-1135000000C121------------,5250,0,09 Jan 2023,0,5500,5200,5350,100,26000,137532500,52,218.4,5400,2400,5200,15400,434000000,434000000,84803600,0,0,0,0,0
33,AMIN,Ateliers Mecaniques D Indonesie Tbk.,--U-2130000000C143------------,171,0,09 Jan 2023,0,182,160,160,-11,9629400,1683332500,1502,125,160,3149700,0,0,1080000000,1080000000,187920000,0,0,0,0,0
34,AMMS,Agung Menjangan Mas Tbk.,--U-3000000000D231------------,41,0,09 Jan 2023,0,42,40,40,-1,1555400,63091300,230,40,41,50800,40,244700,1200000000,240000000,0,0,50000,0,0,0
35,AMOR,Ashmore Asset Management Indonesia Tbk.,--U-2105000000G311------------,1320,0,09 Jan 2023,0,1345,1320,1325,5,150400,201065500,17,139.5,1345,58200,1325,75600,2222222400,2218538400,206444461,300,140500,0,0,0
36,AMRT,Sumber Alfaria Trijaya Tbk.,--UO1U03520000D113------------,2800,2810,09 Jan 2023,2810,2830,2700,2740,-60,13687400,37715180000,5572,6991.8,2740,69100,2730,22700,41524501700,41524501700,18843818871,10242600,8185200,309180,865705368,9
37,ANDI,Andira Agro Tbk.,--U-2130000000D232-----------X,50,0,09 Jan 2023,0,50,50,50,0,5500,275000,8,125,50,87930100,0,0,9350000000,9350000000,3266890000,0,0,0,0,0
38,ANJT,Austindo Nusantara Jaya Tbk.,--M-1135000000D232------------,645,0,09 Jan 2023,0,655,640,650,5,1834900,1188562000,175,54.2,650,111500,645,47900,3354175000,3354175000,670835,22200,34600,0,0,0
39,ANTM,Aneka Tambang Tbk.,--MO1XNPX5H000B146------------,1985,2010,09 Jan 2023,2010,2070,2010,2060,75,118329600,242149458000,15604,1358.2,2060,1055200,2050,587300,24030764725,24030764725,8369915354,11044300,60434800,721,1456493,10
40,APEX,Apexindo Pratama Duta Tbk.,--U-1130000000A131------------,252,0,09 Jan 2023,0,236,236,236,-16,191500,45194000,98,15.1,236,1677500,0,0,2796804997,2796804997,663681826,0,0,0,0,0
41,APIC,Pacific Strategic Financial Tbk.,--M-2105000000G511------------,1120,0,09 Jan 2023,0,1130,1115,1125,5,2672000,3002540000,185,1196.6,1125,197100,1120,34600,11766313488,11766313488,6717388370,471900,1800,3132200,3508064000,2
42,APII,Arita Prima Indonesia Tbk.,--M-2130000000C143------------,199,0,09 Jan 2023,0,202,197,199,0,183600,36385700,59,90.5,199,20300,198,2000,1075760000,1075760000,274641528,0,0,0,0,0
43,APLI,Asiaplast Industries Tbk.,--U-1130000000B113------------,260,0,09 Jan 2023,0,274,242,242,-18,895200,220916400,271,201.7,242,443200,0,0,1362671400,1362671400,172923001,0,0,0,0,0
44,APLN,Agung Podomoro Land Tbk.,--M-1135000000H111------------,143,0,09 Jan 2023,0,146,139,140,-3,10776500,1523243600,1148,38.4,141,226900,140,647200,22699326779,22699326779,3915633869,1044000,2065700,0,0,0
45,ARCI,Archi Indonesia Tbk.,--M-1135000000B143------------,330,0,09 Jan 2023,0,338,328,330,0,1260000,419398000,309,44,330,53000,328,43400,24835000000,24835000000,1812955000,111900,0,1700,578000,1
46,ARGO,Argo Pantes Tbk,--U-2100000000E413-E---------X,1275,0,09 Jan 2023,0,1270,1270,1270,-5,100,127000,1,31.9,1235,2800,0,0,335557450,335557450,17616766,0,0,0,0,0
47,ARII,Atlas Resources Tbk.,--U-2130000000A121------------,264,0,09 Jan 2023,0,268,258,262,-2,699500,183632000,230,17.5,262,15100,260,52400,3431000000,3431000000,1414944400,0,0,0,0,0
48,ARKA,Arkha Jayanti Persada Tbk.,--U-2100000000C143-----------X,50,0,09 Jan 2023,0,50,50,50,0,12800,640000,22,21.2,50,17322600,0,0,2000000000,2000000000,870400000,0,0,0,0,0
49,ARKO,Arkora Hydro Tbk.,--M-2105000000J411------------,565,0,09 Jan 2023,0,565,545,555,-10,3134500,1734122000,414,185,555,86500,550,46200,2928495000,2927086000,464166458,434100,6000,0,0,0
50,ARMY,Armidian Karyatama Tbk.,--U-2100000000H111---L-------X,50,0,09 Jan 2023,0,0,0,50,0,0,0,0,16.7,0,0,0,0,9006250000,9006250000,4440981875,0,0,0,0,0
51,ARNA,Arwana Citramulia Tbk.,--M-1135000000C121------------,1000,0,09 Jan 2023,0,1015,1000,1010,10,2057800,2074412000,441,6864.7,1010,727900,1005,2100,7341430976,7341430976,2946116251,1106300,1259600,50000,50000000,1
52,ARTA,Arthavest Tbk,--U-2135000000E512------------,2090,0,09 Jan 2023,0,2090,2090,2090,0,600,1254000,2,1212.4,2080,300,1970,100,446674175,446674175,50518849,0,0,0,0,0
53,ARTI,Ratu Prabu Energi Tbk,--U-2100000000A132-E---------X,50,0,09 Jan 2023,0,0,0,50,0,0,0,0,12.3,0,0,0,0,7840000000,7840000000,4368448000,0,0,0,0,0
54,ARTO,Bank Jago Tbk.,--UO2HM0500000G111------------,3060,3100,09 Jan 2023,3110,3170,2920,2980,-80,13470600,41008961000,7063,18119.9,2980,561400,2970,75200,13717687500,13717687500,3823119506,1663400,3112400,519,1610415,8
55,ASBI,Asuransi Bintang Tbk.,--U-2100000000G412------------,498,0,09 Jan 2023,0,510,464,500,2,53900,25410000,34,379.6,500,8100,468,200,348386472,348386472,47276044,2100,0,0,0,0
56,ASDM,Asuransi Dayin Mitra Tbk.,--U-1100000000G412------------,930,0,09 Jan 2023,0,930,930,930,0,300,279000,3,274.7,950,22600,925,100,192000000,192000000,41702400,0,0,0,0,0
57,ASGR,Astra Graphia Tbk.,--M-1135000000C224------------,930,0,09 Jan 2023,0,940,925,925,-5,656700,609429500,87,191.8,925,489300,920,131800,1348780500,1348780500,297540978,0,800,0,0,0
58,ASHA,Cilacap Samudera Fishing Industry Tbk.,--U-2135000000D231------------,71,0,09 Jan 2023,0,84,70,84,13,161432600,12920985900,8362,84,84,1324700,83,711200,5000000000,1250000000,1250000000,5057000,242500,0,0,0
